stage,cohort,scheme,fold,seed,model,ecg_id,n_features,n_missing
stage1,all300,exploratory,2,7005,B,10811,52,0
stage1,all300,exploratory,2,7005,B,11163,52,0
stage1,all300,exploratory,2,7005,B,12087,52,0
stage1,all300,exploratory,2,7005,B,12884,52,0
stage1,all300,exploratory,2,7005,B,13661,52,0
stage1,all300,exploratory,2,7005,B,14398,52,0
stage1,all300,exploratory,2,7005,B,14664,52,0
stage1,all300,exploratory,2,7005,B,15655,52,0
stage1,all300,exploratory,2,7005,B,16181,52,0
stage1,all300,exploratory,2,7005,B,16837,52,0
stage1,all300,exploratory,2,7005,B,17046,52,0
stage1,all300,exploratory,2,7005,B,17436,52,0
stage1,all300,exploratory,2,7005,B,18679,52,0
stage1,all300,exploratory,2,7005,B,19308,52,0
stage1,all300,exploratory,2,7005,B,19505,52,0
stage1,all300,exploratory,2,7005,B,19708,52,52
stage1,all300,exploratory,2,7005,B,19830,52,0
stage1,all300,exploratory,2,7005,C,1241,92,0
stage1,all300,exploratory,2,7005,C,1904,92,0
stage1,all300,exploratory,2,7005,C,1996,92,0
stage1,all300,exploratory,2,7005,C,2491,92,0
stage1,all300,exploratory,2,7005,C,2784,92,0
stage1,all300,exploratory,2,7005,C,3175,92,0
stage1,all300,exploratory,2,7005,C,3839,92,0
stage1,all300,exploratory,2,7005,C,3853,92,0
stage1,all300,exploratory,2,7005,C,3922,92,0
stage1,all300,exploratory,2,7005,C,4129,92,0
stage1,all300,exploratory,2,7005,C,4210,92,92
stage1,all300,exploratory,2,7005,C,4323,92,0
stage1,all300,exploratory,2,7005,C,4374,92,92
stage1,all300,exploratory,2,7005,C,5823,92,0
stage1,all300,exploratory,2,7005,C,5962,92,92
stage1,all300,exploratory,2,7005,C,6347,92,0
stage1,all300,exploratory,2,7005,C,6611,92,0
stage1,all300,exploratory,2,7005,C,7420,92,0
stage1,all300,exploratory,2,7005,C,7659,92,0
stage1,all300,exploratory,2,7005,C,7844,92,0
stage1,all300,exploratory,2,7005,C,8456,92,0
stage1,all300,exploratory,2,7005,C,9285,92,0
stage1,all300,exploratory,2,7005,C,9782,92,0
stage1,all300,exploratory,2,7005,C,10703,92,0
stage1,all300,exploratory,2,7005,C,10811,92,0
stage1,all300,exploratory,2,7005,C,11163,92,0
stage1,all300,exploratory,2,7005,C,12087,92,0
stage1,all300,exploratory,2,7005,C,12884,92,0
stage1,all300,exploratory,2,7005,C,13661,92,0
stage1,all300,exploratory,2,7005,C,14398,92,0
stage1,all300,exploratory,2,7005,C,14664,92,0
stage1,all300,exploratory,2,7005,C,15655,92,0
stage1,all300,exploratory,2,7005,C,16181,92,0
stage1,all300,exploratory,2,7005,C,16837,92,0
stage1,all300,exploratory,2,7005,C,17046,92,0
stage1,all300,exploratory,2,7005,C,17436,92,0
stage1,all300,exploratory,2,7005,C,18679,92,0
stage1,all300,exploratory,2,7005,C,19308,92,0
stage1,all300,exploratory,2,7005,C,19505,92,0
stage1,all300,exploratory,2,7005,C,19708,92,92
stage1,all300,exploratory,2,7005,C,19830,92,0
stage1,all300,exploratory,3,0,A,1385,24,0
stage1,all300,exploratory,3,0,A,2052,24,0
stage1,all300,exploratory,3,0,A,3392,24,0
stage1,all300,exploratory,3,0,A,3535,24,0
stage1,all300,exploratory,3,0,A,5550,24,0
stage1,all300,exploratory,3,0,A,5657,24,0
stage1,all300,exploratory,3,0,A,6401,24,0
stage1,all300,exploratory,3,0,A,6624,24,0
stage1,all300,exploratory,3,0,A,7410,24,0
stage1,all300,exploratory,3,0,A,7564,24,0
stage1,all300,exploratory,3,0,A,8049,24,0
stage1,all300,exploratory,3,0,A,8211,24,0
stage1,all300,exploratory,3,0,A,8649,24,0
stage1,all300,exploratory,3,0,A,9535,24,0
stage1,all300,exploratory,3,0,A,9805,24,0
stage1,all300,exploratory,3,0,A,9843,24,0
stage1,all300,exploratory,3,0,A,9868,24,0
stage1,all300,exploratory,3,0,A,10129,24,0
stage1,all300,exploratory,3,0,A,10971,24,0
stage1,all300,exploratory,3,0,A,12628,24,0
stage1,all300,exploratory,3,0,A,12706,24,0
stage1,all300,exploratory,3,0,A,12781,24,0
stage1,all300,exploratory,3,0,A,15282,24,0
stage1,all300,exploratory,3,0,A,16063,24,0
stage1,all300,exploratory,3,0,A,16977,24,0
stage1,all300,exploratory,3,0,A,17544,24,0
stage1,all300,exploratory,3,0,A,17555,24,0
stage1,all300,exploratory,3,0,A,17652,24,0
stage1,all300,exploratory,3,0,A,17773,24,0
stage1,all300,exploratory,3,0,A,17859,24,0
stage1,all300,exploratory,3,0,A,18030,24,0
stage1,all300,exploratory,3,0,A,18429,24,0
stage1,all300,exploratory,3,0,A,19835,24,0
stage1,all300,exploratory,3,0,A,20221,24,0
stage1,all300,exploratory,3,0,A,20607,24,0
stage1,all300,exploratory,3,0,A,20897,24,0
stage1,all300,exploratory,3,0,A,21537,24,0
stage1,all300,exploratory,3,0,B,1385,52,0
stage1,all300,exploratory,3,0,B,2052,52,0
stage1,all300,exploratory,3,0,B,3392,52,0
stage1,all300,exploratory,3,0,B,3535,52,0
stage1,all300,exploratory,3,0,B,5550,52,0
stage1,all300,exploratory,3,0,B,5657,52,0
stage1,all300,exploratory,3,0,B,6401,52,0
stage1,all300,exploratory,3,0,B,6624,52,0
stage1,all300,exploratory,3,0,B,7410,52,0
stage1,all300,exploratory,3,0,B,7564,52,0
stage1,all300,exploratory,3,0,B,8049,52,0
stage1,all300,exploratory,3,0,B,8211,52,0
stage1,all300,exploratory,3,0,B,8649,52,0
stage1,all300,exploratory,3,0,B,9535,52,0
stage1,all300,exploratory,3,0,B,9805,52,0
stage1,all300,exploratory,3,0,B,9843,52,0
stage1,all300,exploratory,3,0,B,9868,52,0
stage1,all300,exploratory,3,0,B,10129,52,0
stage1,all300,exploratory,3,0,B,10971,52,0
stage1,all300,exploratory,3,0,B,12628,52,0
stage1,all300,exploratory,3,0,B,12706,52,0
stage1,all300,exploratory,3,0,B,12781,52,0
stage1,all300,exploratory,3,0,B,15282,52,0
stage1,all300,exploratory,3,0,B,16063,52,0
stage1,all300,exploratory,3,0,B,16977,52,0
stage1,all300,exploratory,3,0,B,17544,52,0
stage1,all300,exploratory,3,0,B,17555,52,0
stage1,all300,exploratory,3,0,B,17652,52,0
stage1,all300,exploratory,3,0,B,17773,52,0
stage1,all300,exploratory,3,0,B,17859,52,0
stage1,all300,exploratory,3,0,B,18030,52,0
stage1,all300,exploratory,3,0,B,18429,52,0
stage1,all300,exploratory,3,0,B,19835,52,0
stage1,all300,exploratory,3,0,B,20221,52,0
stage1,all300,exploratory,3,0,B,20607,52,0
stage1,all300,exploratory,3,0,B,20897,52,0
stage1,all300,exploratory,3,0,B,21537,52,0
stage1,all300,exploratory,3,0,C,1385,92,0
stage1,all300,exploratory,3,0,C,2052,92,0
stage1,all300,exploratory,3,0,C,3392,92,0
stage1,all300,exploratory,3,0,C,3535,92,0
stage1,all300,exploratory,3,0,C,5550,92,0
stage1,all300,exploratory,3,0,C,5657,92,0
stage1,all300,exploratory,3,0,C,6401,92,0
stage1,all300,exploratory,3,0,C,6624,92,0
stage1,all300,exploratory,3,0,C,7410,92,0
stage1,all300,exploratory,3,0,C,7564,92,0
stage1,all300,exploratory,3,0,C,8049,92,0
stage1,all300,exploratory,3,0,C,8211,92,0
stage1,all300,exploratory,3,0,C,8649,92,0
stage1,all300,exploratory,3,0,C,9535,92,0
stage1,all300,exploratory,3,0,C,9805,92,0
stage1,all300,exploratory,3,0,C,9843,92,0
stage1,all300,exploratory,3,0,C,9868,92,0
stage1,all300,exploratory,3,0,C,10129,92,0
stage1,all300,exploratory,3,0,C,10971,92,0
stage1,all300,exploratory,3,0,C,12628,92,0
stage1,all300,exploratory,3,0,C,12706,92,0
stage1,all300,exploratory,3,0,C,12781,92,0
stage1,all300,exploratory,3,0,C,15282,92,0
stage1,all300,exploratory,3,0,C,16063,92,0
stage1,all300,exploratory,3,0,C,16977,92,0
stage1,all300,exploratory,3,0,C,17544,92,0
stage1,all300,exploratory,3,0,C,17555,92,0
stage1,all300,exploratory,3,0,C,17652,92,0
stage1,all300,exploratory,3,0,C,17773,92,0
stage1,all300,exploratory,3,0,C,17859,92,0
stage1,all300,exploratory,3,0,C,18030,92,0
stage1,all300,exploratory,3,0,C,18429,92,0
stage1,all300,exploratory,3,0,C,19835,92,0
stage1,all300,exploratory,3,0,C,20221,92,0
stage1,all300,exploratory,3,0,C,20607,92,0
stage1,all300,exploratory,3,0,C,20897,92,0
stage1,all300,exploratory,3,0,C,21537,92,0
stage1,all300,exploratory,3,7001,A,1385,24,0
stage1,all300,exploratory,3,7001,A,2052,24,0
stage1,all300,exploratory,3,7001,A,3392,24,0
stage1,all300,exploratory,3,7001,A,3535,24,0
stage1,all300,exploratory,3,7001,A,5550,24,0
stage1,all300,exploratory,3,7001,A,5657,24,0
stage1,all300,exploratory,3,7001,A,6401,24,0
stage1,all300,exploratory,3,7001,A,6624,24,0
stage1,all300,exploratory,3,7001,A,7410,24,0
stage1,all300,exploratory,3,7001,A,7564,24,0
stage1,all300,exploratory,3,7001,A,8049,24,0
stage1,all300,exploratory,3,7001,A,8211,24,0
stage1,all300,exploratory,3,7001,A,8649,24,0
stage1,all300,exploratory,3,7001,A,9535,24,0
stage1,all300,exploratory,3,7001,A,9805,24,0
stage1,all300,exploratory,3,7001,A,9843,24,0
stage1,all300,exploratory,3,7001,A,9868,24,0
stage1,all300,exploratory,3,7001,A,10129,24,0
stage1,all300,exploratory,3,7001,A,10971,24,0
stage1,all300,exploratory,3,7001,A,12628,24,0
stage1,all300,exploratory,3,7001,A,12706,24,0
stage1,all300,exploratory,3,7001,A,12781,24,0
stage1,all300,exploratory,3,7001,A,15282,24,0
stage1,all300,exploratory,3,7001,A,16063,24,0
stage1,all300,exploratory,3,7001,A,16977,24,0
stage1,all300,exploratory,3,7001,A,17544,24,0
stage1,all300,exploratory,3,7001,A,17555,24,0
stage1,all300,exploratory,3,7001,A,17652,24,0
stage1,all300,exploratory,3,7001,A,17773,24,0
stage1,all300,exploratory,3,7001,A,17859,24,0
stage1,all300,exploratory,3,7001,A,18030,24,0
stage1,all300,exploratory,3,7001,A,18429,24,0
stage1,all300,exploratory,3,7001,A,19835,24,0
stage1,all300,exploratory,3,7001,A,20221,24,0
stage1,all300,exploratory,3,7001,A,20607,24,0
stage1,all300,exploratory,3,7001,A,20897,24,0
stage1,all300,exploratory,3,7001,A,21537,24,0
stage1,all300,exploratory,3,7001,B,1385,52,0
stage1,all300,exploratory,3,7001,B,2052,52,0
stage1,all300,exploratory,3,7001,B,3392,52,0
stage1,all300,exploratory,3,7001,B,3535,52,0
stage1,all300,exploratory,3,7001,B,5550,52,0
stage1,all300,exploratory,3,7001,B,5657,52,0
stage1,all300,exploratory,3,7001,B,6401,52,0
stage1,all300,exploratory,3,7001,B,6624,52,0
stage1,all300,exploratory,3,7001,B,7410,52,0
stage1,all300,exploratory,3,7001,B,7564,52,0
stage1,all300,exploratory,3,7001,B,8049,52,0
stage1,all300,exploratory,3,7001,B,8211,52,0
stage1,all300,exploratory,3,7001,B,8649,52,0
stage1,all300,exploratory,3,7001,B,9535,52,0
stage1,all300,exploratory,3,7001,B,9805,52,0
stage1,all300,exploratory,3,7001,B,9843,52,0
stage1,all300,exploratory,3,7001,B,9868,52,0
stage1,all300,exploratory,3,7001,B,10129,52,0
stage1,all300,exploratory,3,7001,B,10971,52,0
stage1,all300,exploratory,3,7001,B,12628,52,0
stage1,all300,exploratory,3,7001,B,12706,52,0
stage1,all300,exploratory,3,7001,B,12781,52,0
stage1,all300,exploratory,3,7001,B,15282,52,0
stage1,all300,exploratory,3,7001,B,16063,52,0
stage1,all300,exploratory,3,7001,B,16977,52,0
stage1,all300,exploratory,3,7001,B,17544,52,0
stage1,all300,exploratory,3,7001,B,17555,52,0
stage1,all300,exploratory,3,7001,B,17652,52,0
stage1,all300,exploratory,3,7001,B,17773,52,0
stage1,all300,exploratory,3,7001,B,17859,52,0
stage1,all300,exploratory,3,7001,B,18030,52,0
stage1,all300,exploratory,3,7001,B,18429,52,0
stage1,all300,exploratory,3,7001,B,19835,52,0
stage1,all300,exploratory,3,7001,B,20221,52,0
stage1,all300,exploratory,3,7001,B,20607,52,0
stage1,all300,exploratory,3,7001,B,20897,52,0
stage1,all300,exploratory,3,7001,B,21537,52,0
stage1,all300,exploratory,3,7001,C,1385,92,0
stage1,all300,exploratory,3,7001,C,2052,92,0
stage1,all300,exploratory,3,7001,C,3392,92,0
stage1,all300,exploratory,3,7001,C,3535,92,0
stage1,all300,exploratory,3,7001,C,5550,92,0
stage1,all300,exploratory,3,7001,C,5657,92,0
stage1,all300,exploratory,3,7001,C,6401,92,0
stage1,all300,exploratory,3,7001,C,6624,92,0
stage1,all300,exploratory,3,7001,C,7410,92,0
stage1,all300,exploratory,3,7001,C,7564,92,0
stage1,all300,exploratory,3,7001,C,8049,92,0
stage1,all300,exploratory,3,7001,C,8211,92,0
stage1,all300,exploratory,3,7001,C,8649,92,0
stage1,all300,exploratory,3,7001,C,9535,92,0
stage1,all300,exploratory,3,7001,C,9805,92,0
stage1,all300,exploratory,3,7001,C,9843,92,0
stage1,all300,exploratory,3,7001,C,9868,92,0
stage1,all300,exploratory,3,7001,C,10129,92,0
stage1,all300,exploratory,3,7001,C,10971,92,0
stage1,all300,exploratory,3,7001,C,12628,92,0
stage1,all300,exploratory,3,7001,C,12706,92,0
stage1,all300,exploratory,3,7001,C,12781,92,0
stage1,all300,exploratory,3,7001,C,15282,92,0
stage1,all300,exploratory,3,7001,C,16063,92,0
stage1,all300,exploratory,3,7001,C,16977,92,0
stage1,all300,exploratory,3,7001,C,17544,92,0
stage1,all300,exploratory,3,7001,C,17555,92,0
stage1,all300,exploratory,3,7001,C,17652,92,0
stage1,all300,exploratory,3,7001,C,17773,92,0
stage1,all300,exploratory,3,7001,C,17859,92,0
stage1,all300,exploratory,3,7001,C,18030,92,0
stage1,all300,exploratory,3,7001,C,18429,92,0
stage1,all300,exploratory,3,7001,C,19835,92,0
stage1,all300,exploratory,3,7001,C,20221,92,0
stage1,all300,exploratory,3,7001,C,20607,92,0
stage1,all300,exploratory,3,7001,C,20897,92,0
stage1,all300,exploratory,3,7001,C,21537,92,0
stage1,all300,exploratory,3,7002,A,1385,24,0
stage1,all300,exploratory,3,7002,A,2052,24,0
stage1,all300,exploratory,3,7002,A,3392,24,0
stage1,all300,exploratory,3,7002,A,3535,24,0
stage1,all300,exploratory,3,7002,A,5550,24,0
stage1,all300,exploratory,3,7002,A,5657,24,0
stage1,all300,exploratory,3,7002,A,6401,24,0
stage1,all300,exploratory,3,7002,A,6624,24,0
stage1,all300,exploratory,3,7002,A,7410,24,0
stage1,all300,exploratory,3,7002,A,7564,24,0
stage1,all300,exploratory,3,7002,A,8049,24,0
stage1,all300,exploratory,3,7002,A,8211,24,0
stage1,all300,exploratory,3,7002,A,8649,24,0
stage1,all300,exploratory,3,7002,A,9535,24,0
stage1,all300,exploratory,3,7002,A,9805,24,0
stage1,all300,exploratory,3,7002,A,9843,24,0
stage1,all300,exploratory,3,7002,A,9868,24,0
stage1,all300,exploratory,3,7002,A,10129,24,0
stage1,all300,exploratory,3,7002,A,10971,24,0
stage1,all300,exploratory,3,7002,A,12628,24,0
stage1,all300,exploratory,3,7002,A,12706,24,0
stage1,all300,exploratory,3,7002,A,12781,24,0
stage1,all300,exploratory,3,7002,A,15282,24,0
stage1,all300,exploratory,3,7002,A,16063,24,0
stage1,all300,exploratory,3,7002,A,16977,24,0
stage1,all300,exploratory,3,7002,A,17544,24,0
stage1,all300,exploratory,3,7002,A,17555,24,0
stage1,all300,exploratory,3,7002,A,17652,24,0
stage1,all300,exploratory,3,7002,A,17773,24,0
stage1,all300,exploratory,3,7002,A,17859,24,0
stage1,all300,exploratory,3,7002,A,18030,24,0
stage1,all300,exploratory,3,7002,A,18429,24,0
stage1,all300,exploratory,3,7002,A,19835,24,0
stage1,all300,exploratory,3,7002,A,20221,24,0
stage1,all300,exploratory,3,7002,A,20607,24,0
stage1,all300,exploratory,3,7002,A,20897,24,0
stage1,all300,exploratory,3,7002,A,21537,24,0
stage1,all300,exploratory,3,7002,B,1385,52,0
stage1,all300,exploratory,3,7002,B,2052,52,0
stage1,all300,exploratory,3,7002,B,3392,52,0
stage1,all300,exploratory,3,7002,B,3535,52,0
stage1,all300,exploratory,3,7002,B,5550,52,0
stage1,all300,exploratory,3,7002,B,5657,52,0
stage1,all300,exploratory,3,7002,B,6401,52,0
stage1,all300,exploratory,3,7002,B,6624,52,0
stage1,all300,exploratory,3,7002,B,7410,52,0
stage1,all300,exploratory,3,7002,B,7564,52,0
stage1,all300,exploratory,3,7002,B,8049,52,0
stage1,all300,exploratory,3,7002,B,8211,52,0
stage1,all300,exploratory,3,7002,B,8649,52,0
stage1,all300,exploratory,3,7002,B,9535,52,0
stage1,all300,exploratory,3,7002,B,9805,52,0
stage1,all300,exploratory,3,7002,B,9843,52,0
stage1,all300,exploratory,3,7002,B,9868,52,0
stage1,all300,exploratory,3,7002,B,10129,52,0
stage1,all300,exploratory,3,7002,B,10971,52,0
stage1,all300,exploratory,3,7002,B,12628,52,0
stage1,all300,exploratory,3,7002,B,12706,52,0
stage1,all300,exploratory,3,7002,B,12781,52,0
stage1,all300,exploratory,3,7002,B,15282,52,0
stage1,all300,exploratory,3,7002,B,16063,52,0
stage1,all300,exploratory,3,7002,B,16977,52,0
stage1,all300,exploratory,3,7002,B,17544,52,0
stage1,all300,exploratory,3,7002,B,17555,52,0
stage1,all300,exploratory,3,7002,B,17652,52,0
stage1,all300,exploratory,3,7002,B,17773,52,0
stage1,all300,exploratory,3,7002,B,17859,52,0
stage1,all300,exploratory,3,7002,B,18030,52,0
stage1,all300,exploratory,3,7002,B,18429,52,0
stage1,all300,exploratory,3,7002,B,19835,52,0
stage1,all300,exploratory,3,7002,B,20221,52,0
stage1,all300,exploratory,3,7002,B,20607,52,0
stage1,all300,exploratory,3,7002,B,20897,52,0
stage1,all300,exploratory,3,7002,B,21537,52,0
stage1,all300,exploratory,3,7002,C,1385,92,0
stage1,all300,exploratory,3,7002,C,2052,92,0
stage1,all300,exploratory,3,7002,C,3392,92,0
stage1,all300,exploratory,3,7002,C,3535,92,0
stage1,all300,exploratory,3,7002,C,5550,92,0
stage1,all300,exploratory,3,7002,C,5657,92,0
stage1,all300,exploratory,3,7002,C,6401,92,0
stage1,all300,exploratory,3,7002,C,6624,92,0
stage1,all300,exploratory,3,7002,C,7410,92,0
stage1,all300,exploratory,3,7002,C,7564,92,0
stage1,all300,exploratory,3,7002,C,8049,92,0
stage1,all300,exploratory,3,7002,C,8211,92,0
stage1,all300,exploratory,3,7002,C,8649,92,0
stage1,all300,exploratory,3,7002,C,9535,92,0
stage1,all300,exploratory,3,7002,C,9805,92,0
stage1,all300,exploratory,3,7002,C,9843,92,0
stage1,all300,exploratory,3,7002,C,9868,92,0
stage1,all300,exploratory,3,7002,C,10129,92,0
stage1,all300,exploratory,3,7002,C,10971,92,0
stage1,all300,exploratory,3,7002,C,12628,92,0
stage1,all300,exploratory,3,7002,C,12706,92,0
stage1,all300,exploratory,3,7002,C,12781,92,0
stage1,all300,exploratory,3,7002,C,15282,92,0
stage1,all300,exploratory,3,7002,C,16063,92,0
stage1,all300,exploratory,3,7002,C,16977,92,0
stage1,all300,exploratory,3,7002,C,17544,92,0
stage1,all300,exploratory,3,7002,C,17555,92,0
stage1,all300,exploratory,3,7002,C,17652,92,0
stage1,all300,exploratory,3,7002,C,17773,92,0
stage1,all300,exploratory,3,7002,C,17859,92,0
stage1,all300,exploratory,3,7002,C,18030,92,0
stage1,all300,exploratory,3,7002,C,18429,92,0
stage1,all300,exploratory,3,7002,C,19835,92,0
stage1,all300,exploratory,3,7002,C,20221,92,0
stage1,all300,exploratory,3,7002,C,20607,92,0
stage1,all300,exploratory,3,7002,C,20897,92,0
stage1,all300,exploratory,3,7002,C,21537,92,0
stage1,all300,exploratory,3,7003,A,1385,24,0
stage1,all300,exploratory,3,7003,A,2052,24,0
stage1,all300,exploratory,3,7003,A,3392,24,0
stage1,all300,exploratory,3,7003,A,3535,24,0
stage1,all300,exploratory,3,7003,A,5550,24,0
stage1,all300,exploratory,3,7003,A,5657,24,0
stage1,all300,exploratory,3,7003,A,6401,24,0
stage1,all300,exploratory,3,7003,A,6624,24,0
stage1,all300,exploratory,3,7003,A,7410,24,0
stage1,all300,exploratory,3,7003,A,7564,24,0
stage1,all300,exploratory,3,7003,A,8049,24,0
stage1,all300,exploratory,3,7003,A,8211,24,0
stage1,all300,exploratory,3,7003,A,8649,24,0
stage1,all300,exploratory,3,7003,A,9535,24,0
stage1,all300,exploratory,3,7003,A,9805,24,0
stage1,all300,exploratory,3,7003,A,9843,24,0
stage1,all300,exploratory,3,7003,A,9868,24,0
stage1,all300,exploratory,3,7003,A,10129,24,0
stage1,all300,exploratory,3,7003,A,10971,24,0
stage1,all300,exploratory,3,7003,A,12628,24,0
stage1,all300,exploratory,3,7003,A,12706,24,0
stage1,all300,exploratory,3,7003,A,12781,24,0
stage1,all300,exploratory,3,7003,A,15282,24,0
stage1,all300,exploratory,3,7003,A,16063,24,0
stage1,all300,exploratory,3,7003,A,16977,24,0
stage1,all300,exploratory,3,7003,A,17544,24,0
stage1,all300,exploratory,3,7003,A,17555,24,0
stage1,all300,exploratory,3,7003,A,17652,24,0
stage1,all300,exploratory,3,7003,A,17773,24,0
stage1,all300,exploratory,3,7003,A,17859,24,0
stage1,all300,exploratory,3,7003,A,18030,24,0
stage1,all300,exploratory,3,7003,A,18429,24,0
stage1,all300,exploratory,3,7003,A,19835,24,0
stage1,all300,exploratory,3,7003,A,20221,24,0
stage1,all300,exploratory,3,7003,A,20607,24,0
stage1,all300,exploratory,3,7003,A,20897,24,0
stage1,all300,exploratory,3,7003,A,21537,24,0
stage1,all300,exploratory,3,7003,B,1385,52,0
stage1,all300,exploratory,3,7003,B,2052,52,0
stage1,all300,exploratory,3,7003,B,3392,52,0
stage1,all300,exploratory,3,7003,B,3535,52,0
stage1,all300,exploratory,3,7003,B,5550,52,0
stage1,all300,exploratory,3,7003,B,5657,52,0
stage1,all300,exploratory,3,7003,B,6401,52,0
stage1,all300,exploratory,3,7003,B,6624,52,0
stage1,all300,exploratory,3,7003,B,7410,52,0
stage1,all300,exploratory,3,7003,B,7564,52,0
stage1,all300,exploratory,3,7003,B,8049,52,0
stage1,all300,exploratory,3,7003,B,8211,52,0
stage1,all300,exploratory,3,7003,B,8649,52,0
stage1,all300,exploratory,3,7003,B,9535,52,0
stage1,all300,exploratory,3,7003,B,9805,52,0
stage1,all300,exploratory,3,7003,B,9843,52,0
stage1,all300,exploratory,3,7003,B,9868,52,0
stage1,all300,exploratory,3,7003,B,10129,52,0
stage1,all300,exploratory,3,7003,B,10971,52,0
stage1,all300,exploratory,3,7003,B,12628,52,0
stage1,all300,exploratory,3,7003,B,12706,52,0
stage1,all300,exploratory,3,7003,B,12781,52,0
stage1,all300,exploratory,3,7003,B,15282,52,0
stage1,all300,exploratory,3,7003,B,16063,52,0
stage1,all300,exploratory,3,7003,B,16977,52,0
stage1,all300,exploratory,3,7003,B,17544,52,0
stage1,all300,exploratory,3,7003,B,17555,52,0
stage1,all300,exploratory,3,7003,B,17652,52,0
stage1,all300,exploratory,3,7003,B,17773,52,0
stage1,all300,exploratory,3,7003,B,17859,52,0
stage1,all300,exploratory,3,7003,B,18030,52,0
stage1,all300,exploratory,3,7003,B,18429,52,0
stage1,all300,exploratory,3,7003,B,19835,52,0
stage1,all300,exploratory,3,7003,B,20221,52,0
stage1,all300,exploratory,3,7003,B,20607,52,0
stage1,all300,exploratory,3,7003,B,20897,52,0
stage1,all300,exploratory,3,7003,B,21537,52,0
stage1,all300,exploratory,3,7003,C,1385,92,0
stage1,all300,exploratory,3,7003,C,2052,92,0
stage1,all300,exploratory,3,7003,C,3392,92,0
stage1,all300,exploratory,3,7003,C,3535,92,0
stage1,all300,exploratory,3,7003,C,5550,92,0
stage1,all300,exploratory,3,7003,C,5657,92,0
stage1,all300,exploratory,3,7003,C,6401,92,0
stage1,all300,exploratory,3,7003,C,6624,92,0
stage1,all300,exploratory,3,7003,C,7410,92,0
stage1,all300,exploratory,3,7003,C,7564,92,0
stage1,all300,exploratory,3,7003,C,8049,92,0
stage1,all300,exploratory,3,7003,C,8211,92,0
stage1,all300,exploratory,3,7003,C,8649,92,0
stage1,all300,exploratory,3,7003,C,9535,92,0
stage1,all300,exploratory,3,7003,C,9805,92,0
stage1,all300,exploratory,3,7003,C,9843,92,0
stage1,all300,exploratory,3,7003,C,9868,92,0
stage1,all300,exploratory,3,7003,C,10129,92,0
stage1,all300,exploratory,3,7003,C,10971,92,0
stage1,all300,exploratory,3,7003,C,12628,92,0
stage1,all300,exploratory,3,7003,C,12706,92,0
stage1,all300,exploratory,3,7003,C,12781,92,0
stage1,all300,exploratory,3,7003,C,15282,92,0
stage1,all300,exploratory,3,7003,C,16063,92,0
stage1,all300,exploratory,3,7003,C,16977,92,0
stage1,all300,exploratory,3,7003,C,17544,92,0
stage1,all300,exploratory,3,7003,C,17555,92,0
stage1,all300,exploratory,3,7003,C,17652,92,0
stage1,all300,exploratory,3,7003,C,17773,92,0
stage1,all300,exploratory,3,7003,C,17859,92,0
stage1,all300,exploratory,3,7003,C,18030,92,0
stage1,all300,exploratory,3,7003,C,18429,92,0
stage1,all300,exploratory,3,7003,C,19835,92,0
stage1,all300,exploratory,3,7003,C,20221,92,0
stage1,all300,exploratory,3,7003,C,20607,92,0
stage1,all300,exploratory,3,7003,C,20897,92,0
stage1,all300,exploratory,3,7003,C,21537,92,0
stage1,all300,exploratory,3,7004,A,1385,24,0
stage1,all300,exploratory,3,7004,A,2052,24,0
stage1,all300,exploratory,3,7004,A,3392,24,0
stage1,all300,exploratory,3,7004,A,3535,24,0
stage1,all300,exploratory,3,7004,A,5550,24,0
stage1,all300,exploratory,3,7004,A,5657,24,0
stage1,all300,exploratory,3,7004,A,6401,24,0
stage1,all300,exploratory,3,7004,A,6624,24,0
stage1,all300,exploratory,3,7004,A,7410,24,0
stage1,all300,exploratory,3,7004,A,7564,24,0
stage1,all300,exploratory,3,7004,A,8049,24,0
stage1,all300,exploratory,3,7004,A,8211,24,0
stage1,all300,exploratory,3,7004,A,8649,24,0
stage1,all300,exploratory,3,7004,A,9535,24,0
stage1,all300,exploratory,3,7004,A,9805,24,0
stage1,all300,exploratory,3,7004,A,9843,24,0
stage1,all300,exploratory,3,7004,A,9868,24,0
stage1,all300,exploratory,3,7004,A,10129,24,0
stage1,all300,exploratory,3,7004,A,10971,24,0
stage1,all300,exploratory,3,7004,A,12628,24,0
stage1,all300,exploratory,3,7004,A,12706,24,0
stage1,all300,exploratory,3,7004,A,12781,24,0
stage1,all300,exploratory,3,7004,A,15282,24,0
stage1,all300,exploratory,3,7004,A,16063,24,0
stage1,all300,exploratory,3,7004,A,16977,24,0
stage1,all300,exploratory,3,7004,A,17544,24,0
stage1,all300,exploratory,3,7004,A,17555,24,0
stage1,all300,exploratory,3,7004,A,17652,24,0
stage1,all300,exploratory,3,7004,A,17773,24,0
stage1,all300,exploratory,3,7004,A,17859,24,0
stage1,all300,exploratory,3,7004,A,18030,24,0
stage1,all300,exploratory,3,7004,A,18429,24,0
stage1,all300,exploratory,3,7004,A,19835,24,0
stage1,all300,exploratory,3,7004,A,20221,24,0
stage1,all300,exploratory,3,7004,A,20607,24,0
stage1,all300,exploratory,3,7004,A,20897,24,0
stage1,all300,exploratory,3,7004,A,21537,24,0
stage1,all300,exploratory,3,7004,B,1385,52,0
stage1,all300,exploratory,3,7004,B,2052,52,0
