stage,ecg_id,source_peak_index,r_peak_sample,r_peak_time_s,left_sample,right_sample,rr_prev_ms,rr_next_ms,valid,failure_reason,beat_index
stage2,4323,6,2889,5.778,2666.5,3133.0,890.0,976.0,True,,5
stage2,4323,7,3377,6.754,3133.0,3623.5,976.0,986.0,True,,6
stage2,4323,8,3870,7.74,3623.5,4117.5,986.0,990.0,True,,7
stage2,4323,9,4365,8.73,4117.5,4600.5,990.0,942.0,True,,8
stage2,4323,10,4836,9.672,4600.5,,942.0,,False,edge_no_two_neighbors,-1
stage2,4374,0,131,0.262,,468.5,,1350.0,False,edge_no_two_neighbors,-1
stage2,4374,1,806,1.612,468.5,1134.0,1350.0,1312.0,True,,0
stage2,4374,2,1462,2.924,1134.0,1791.5,1312.0,1318.0,True,,1
stage2,4374,3,2121,4.242,1791.5,2488.5,1318.0,1470.0,True,,2
stage2,4374,4,2856,5.712,2488.5,3210.0,1470.0,1416.0,True,,3
stage2,4374,5,3564,7.128,3210.0,3894.5,1416.0,1322.0,True,,4
stage2,4374,6,4225,8.45,3894.5,4556.5,1322.0,1326.0,True,,5
stage2,4374,7,4888,9.776,4556.5,,1326.0,,False,edge_no_two_neighbors,-1
stage2,4398,0,107,0.214,,351.5,,978.0,False,edge_no_two_neighbors,-1
stage2,4398,1,596,1.192,351.5,837.0,978.0,964.0,True,,0
stage2,4398,2,1078,2.156,837.0,1321.5,964.0,974.0,True,,1
stage2,4398,3,1565,3.13,1321.5,1752.5,974.0,750.0,True,,2
stage2,4398,4,1940,3.88,1752.5,2220.5,750.0,1122.0,True,,3
stage2,4398,5,2501,5.002,2220.5,2692.0,1122.0,764.0,True,,4
stage2,4398,6,2883,5.766,2692.0,3167.0,764.0,1136.0,True,,5
stage2,4398,7,3451,6.902,3167.0,3642.5,1136.0,766.0,True,,6
stage2,4398,8,3834,7.668,3642.5,4117.0,766.0,1132.0,True,,7
stage2,4398,9,4400,8.8,4117.0,4591.5,1132.0,766.0,True,,8
stage2,4398,10,4783,9.566,4591.5,,766.0,,False,edge_no_two_neighbors,-1
stage2,4406,0,166,0.332,,424.0,,1032.0,False,edge_no_two_neighbors,-1
stage2,4406,1,682,1.364,424.0,939.5,1032.0,1030.0,True,,0
stage2,4406,2,1197,2.394,939.5,1445.5,1030.0,994.0,True,,1
stage2,4406,3,1694,3.388,1445.5,1939.5,994.0,982.0,True,,2
stage2,4406,4,2185,4.37,1939.5,2440.0,982.0,1020.0,True,,3
stage2,4406,5,2695,5.39,2440.0,2952.5,1020.0,1030.0,True,,4
stage2,4406,6,3210,6.42,2952.5,3465.5,1030.0,1022.0,True,,5
stage2,4406,7,3721,7.442,3465.5,3969.5,1022.0,994.0,True,,6
stage2,4406,8,4218,8.436,3969.5,4458.0,994.0,960.0,True,,7
stage2,4406,9,4698,9.396,4458.0,,960.0,,False,edge_no_two_neighbors,-1
stage2,4481,0,447,0.894,,725.5,,1114.0,False,edge_no_two_neighbors,-1
stage2,4481,1,1004,2.008,725.5,1238.5,1114.0,938.0,True,,0
stage2,4481,2,1473,2.946,1238.5,1686.0,938.0,852.0,True,,1
stage2,4481,3,1899,3.798,1686.0,2119.0,852.0,880.0,True,,2
stage2,4481,4,2339,4.678,2119.0,2617.0,880.0,1112.0,True,,3
stage2,4481,5,2895,5.79,2617.0,3198.5,1112.0,1214.0,True,,4
stage2,4481,6,3502,7.004,3198.5,3795.0,1214.0,1172.0,True,,5
stage2,4481,7,4088,8.176,3795.0,4357.0,1172.0,1076.0,True,,6
stage2,4481,8,4626,9.252,4357.0,,1076.0,,False,edge_no_two_neighbors,-1
stage2,4716,0,406,0.812,,646.0,,960.0,False,edge_no_two_neighbors,-1
stage2,4716,1,886,1.772,646.0,1122.5,960.0,946.0,True,,0
stage2,4716,2,1359,2.718,1122.5,1599.0,946.0,960.0,True,,1
stage2,4716,3,1839,3.678,1599.0,2082.0,960.0,972.0,True,,2
stage2,4716,4,2325,4.65,2082.0,2565.0,972.0,960.0,True,,3
stage2,4716,5,2805,5.61,2565.0,3044.0,960.0,956.0,True,,4
stage2,4716,6,3283,6.566,3044.0,3522.5,956.0,958.0,True,,5
stage2,4716,7,3762,7.524,3522.5,4000.5,958.0,954.0,True,,6
stage2,4716,8,4239,8.478,4000.5,4477.0,954.0,952.0,True,,7
stage2,4716,9,4715,9.43,4477.0,,952.0,,False,edge_no_two_neighbors,-1
stage2,4721,0,396,0.792,,599.0,,812.0,False,edge_no_two_neighbors,-1
stage2,4721,1,802,1.604,599.0,1003.0,812.0,804.0,True,,0
stage2,4721,2,1204,2.408,1003.0,1409.0,804.0,820.0,True,,1
stage2,4721,3,1614,3.228,1409.0,1824.5,820.0,842.0,True,,2
stage2,4721,4,2035,4.07,1824.5,2245.5,842.0,842.0,True,,3
stage2,4721,5,2456,4.912,2245.5,2672.5,842.0,866.0,True,,4
stage2,4721,6,2889,5.778,2672.5,3107.5,866.0,874.0,True,,5
stage2,4721,7,3326,6.652,3107.5,3544.5,874.0,874.0,True,,6
stage2,4721,8,3763,7.526,3544.5,3979.5,874.0,866.0,True,,7
stage2,4721,9,4196,8.392,3979.5,4414.0,866.0,872.0,True,,8
stage2,4721,10,4632,9.264,4414.0,,872.0,,False,edge_no_two_neighbors,-1
stage2,4738,0,13,0.026,,319.5,,1226.0,False,edge_no_two_neighbors,-1
stage2,4738,1,626,1.252,319.5,951.0,1226.0,1300.0,True,,0
stage2,4738,2,1276,2.552,951.0,1605.0,1300.0,1316.0,True,,1
stage2,4738,3,1934,3.868,1605.0,2249.0,1316.0,1260.0,True,,2
stage2,4738,4,2564,5.128,2249.0,2892.0,1260.0,1312.0,True,,3
stage2,4738,5,3220,6.44,2892.0,3563.0,1312.0,1372.0,True,,4
stage2,4738,6,3906,7.812,3563.0,4230.0,1372.0,1296.0,True,,5
stage2,4738,7,4554,9.108,4230.0,,1296.0,,False,edge_no_two_neighbors,-1
stage2,4802,0,229,0.458,,476.0,,988.0,False,edge_no_two_neighbors,-1
stage2,4802,1,723,1.446,476.0,985.5,988.0,1050.0,True,,0
stage2,4802,2,1248,2.496,985.5,1503.5,1050.0,1022.0,True,,1
stage2,4802,3,1759,3.518,1503.5,2016.0,1022.0,1028.0,True,,2
stage2,4802,4,2273,4.546,2016.0,2530.5,1028.0,1030.0,True,,3
stage2,4802,5,2788,5.576,2530.5,3039.0,1030.0,1004.0,True,,4
stage2,4802,6,3290,6.58,3039.0,3529.0,1004.0,956.0,True,,5
stage2,4802,7,3768,7.536,3529.0,4005.5,956.0,950.0,True,,6
stage2,4802,8,4243,8.486,4005.5,4491.0,950.0,992.0,True,,7
stage2,4802,9,4739,9.478,4491.0,,992.0,,False,edge_no_two_neighbors,-1
stage2,4808,0,172,0.344,,417.0,,980.0,False,edge_no_two_neighbors,-1
stage2,4808,1,662,1.324,417.0,908.0,980.0,984.0,True,,0
stage2,4808,2,1154,2.308,908.0,1421.0,984.0,1068.0,True,,1
stage2,4808,3,1688,3.376,1421.0,1961.0,1068.0,1092.0,True,,2
stage2,4808,4,2234,4.468,1961.0,2506.0,1092.0,1088.0,True,,3
stage2,4808,5,2778,5.556,2506.0,3043.0,1088.0,1060.0,True,,4
stage2,4808,6,3308,6.616,3043.0,3580.5,1060.0,1090.0,True,,5
stage2,4808,7,3853,7.706,3580.5,4130.0,1090.0,1108.0,True,,6
stage2,4808,8,4407,8.814,4130.0,4669.5,1108.0,1050.0,True,,7
stage2,4808,9,4932,9.864,4669.5,,1050.0,,False,edge_no_two_neighbors,-1
stage2,4918,0,35,0.07,,278.0,,972.0,False,edge_no_two_neighbors,-1
stage2,4918,1,521,1.042,278.0,760.5,972.0,958.0,True,,0
stage2,4918,2,1000,2.0,760.5,1249.5,958.0,998.0,True,,1
stage2,4918,3,1499,2.998,1249.5,1750.5,998.0,1006.0,True,,2
stage2,4918,4,2002,4.004,1750.5,2250.0,1006.0,992.0,True,,3
stage2,4918,5,2498,4.996,2250.0,2737.5,992.0,958.0,True,,4
stage2,4918,6,2977,5.954,2737.5,3207.5,958.0,922.0,True,,5
stage2,4918,7,3438,6.876,3207.5,3680.0,922.0,968.0,True,,6
stage2,4918,8,3922,7.844,3680.0,4174.5,968.0,1010.0,True,,7
stage2,4918,9,4427,8.854,4174.5,4680.5,1010.0,1014.0,True,,8
stage2,4918,10,4934,9.868,4680.5,,1014.0,,False,edge_no_two_neighbors,-1
stage2,5178,0,239,0.478,,438.5,,798.0,False,edge_no_two_neighbors,-1
stage2,5178,1,638,1.276,438.5,831.0,798.0,772.0,True,,0
stage2,5178,2,1024,2.048,831.0,1227.0,772.0,812.0,True,,1
stage2,5178,3,1430,2.86,1227.0,1649.5,812.0,878.0,True,,2
stage2,5178,4,1869,3.738,1649.5,2076.5,878.0,830.0,True,,3
stage2,5178,5,2284,4.568,2076.5,2481.5,830.0,790.0,True,,4
stage2,5178,6,2679,5.358,2481.5,2873.0,790.0,776.0,True,,5
stage2,5178,7,3067,6.134,2873.0,3270.0,776.0,812.0,True,,6
stage2,5178,8,3473,6.946,3270.0,3681.5,812.0,834.0,True,,7
stage2,5178,9,3890,7.78,3681.5,4085.0,834.0,780.0,True,,8
stage2,5178,10,4280,8.56,4085.0,4472.0,780.0,768.0,True,,9
stage2,5178,11,4664,9.328,4472.0,,768.0,,False,edge_no_two_neighbors,-1
stage2,5323,0,97,0.194,,254.0,,628.0,False,edge_no_two_neighbors,-1
stage2,5323,1,411,0.822,254.0,570.0,628.0,636.0,True,,0
stage2,5323,2,729,1.458,570.0,885.0,636.0,624.0,True,,1
stage2,5323,3,1041,2.082,885.0,1195.5,624.0,618.0,True,,2
stage2,5323,4,1350,2.7,1195.5,1500.5,618.0,602.0,True,,3
stage2,5323,5,1651,3.302,1500.5,1799.5,602.0,594.0,True,,4
stage2,5323,6,1948,3.896,1799.5,2094.5,594.0,586.0,True,,5
stage2,5323,7,2241,4.482,2094.5,2385.5,586.0,578.0,True,,6
stage2,5323,8,2530,5.06,2385.5,2674.5,578.0,578.0,True,,7
stage2,5323,9,2819,5.638,2674.5,2965.0,578.0,584.0,True,,8
stage2,5323,10,3111,6.222,2965.0,3256.5,584.0,582.0,True,,9
stage2,5323,11,3402,6.804,3256.5,3548.5,582.0,586.0,True,,10
stage2,5323,12,3695,7.39,3548.5,3839.0,586.0,576.0,True,,11
stage2,5323,13,3983,7.966,3839.0,4123.5,576.0,562.0,True,,12
stage2,5323,14,4264,8.528,4123.5,4406.0,562.0,568.0,True,,13
stage2,5323,15,4548,9.096,4406.0,4692.5,568.0,578.0,True,,14
stage2,5323,16,4837,9.674,4692.5,,578.0,,False,edge_no_two_neighbors,-1
stage2,5415,0,230,0.46,,449.0,,876.0,False,edge_no_two_neighbors,-1
stage2,5415,1,668,1.336,449.0,891.0,876.0,892.0,True,,0
stage2,5415,2,1114,2.228,891.0,1336.0,892.0,888.0,True,,1
stage2,5415,3,1558,3.116,1336.0,1782.0,888.0,896.0,True,,2
stage2,5415,4,2006,4.012,1782.0,2217.5,896.0,846.0,True,,3
stage2,5415,5,2429,4.858,2217.5,2667.5,846.0,954.0,True,,4
stage2,5415,6,2906,5.812,2667.5,3149.5,954.0,974.0,True,,5
stage2,5415,7,3393,6.786,3149.5,3627.5,974.0,938.0,True,,6
stage2,5415,8,3862,7.724,3627.5,4091.0,938.0,916.0,True,,7
stage2,5415,9,4320,8.64,4091.0,4553.5,916.0,934.0,True,,8
stage2,5415,10,4787,9.574,4553.5,,934.0,,False,edge_no_two_neighbors,-1
stage2,5453,0,11,0.022,,230.5,,878.0,False,edge_no_two_neighbors,-1
stage2,5453,1,450,0.9,230.5,669.0,878.0,876.0,True,,0
stage2,5453,2,888,1.776,669.0,1103.5,876.0,862.0,True,,1
stage2,5453,3,1319,2.638,1103.5,1538.5,862.0,878.0,True,,2
stage2,5453,4,1758,3.516,1538.5,1989.0,878.0,924.0,True,,3
stage2,5453,5,2220,4.44,1989.0,2451.5,924.0,926.0,True,,4
stage2,5453,6,2683,5.366,2451.5,2911.0,926.0,912.0,True,,5
stage2,5453,7,3139,6.278,2911.0,3365.5,912.0,906.0,True,,6
stage2,5453,8,3592,7.184,3365.5,3817.5,906.0,902.0,True,,7
stage2,5453,9,4043,8.086,3817.5,4266.0,902.0,892.0,True,,8
stage2,5453,10,4489,8.978,4266.0,4675.0,892.0,744.0,True,,9
stage2,5453,11,4861,9.722,4675.0,,744.0,,False,edge_no_two_neighbors,-1
stage2,5457,0,71,0.142,,280.5,,838.0,False,edge_no_two_neighbors,-1
stage2,5457,1,490,0.98,280.5,709.0,838.0,876.0,True,,0
stage2,5457,2,928,1.856,709.0,1155.0,876.0,908.0,True,,1
stage2,5457,3,1382,2.764,1155.0,1602.5,908.0,882.0,True,,2
stage2,5457,4,1823,3.646,1602.5,2033.5,882.0,842.0,True,,3
stage2,5457,5,2244,4.488,2033.5,2445.5,842.0,806.0,True,,4
stage2,5457,6,2647,5.294,2445.5,2843.5,806.0,786.0,True,,5
stage2,5457,7,3040,6.08,2843.5,3240.0,786.0,800.0,True,,6
stage2,5457,8,3440,6.88,3240.0,3642.0,800.0,808.0,True,,7
stage2,5457,9,3844,7.688,3642.0,4051.5,808.0,830.0,True,,8
stage2,5457,10,4259,8.518,4051.5,4465.5,830.0,826.0,True,,9
stage2,5457,11,4672,9.344,4465.5,,826.0,,False,edge_no_two_neighbors,-1
stage2,5484,0,8,0.016,,198.0,,760.0,False,edge_no_two_neighbors,-1
stage2,5484,1,388,0.776,198.0,568.5,760.0,722.0,True,,0
stage2,5484,2,749,1.498,568.5,919.5,722.0,682.0,True,,1
stage2,5484,3,1090,2.18,919.5,1256.5,682.0,666.0,True,,2
stage2,5484,4,1423,2.846,1256.5,1591.5,666.0,674.0,True,,3
stage2,5484,5,1760,3.52,1591.5,1934.5,674.0,698.0,True,,4
stage2,5484,6,2109,4.218,1934.5,2301.0,698.0,768.0,True,,5
stage2,5484,7,2493,4.986,2301.0,2693.5,768.0,802.0,True,,6
stage2,5484,8,2894,5.788,2693.5,3093.5,802.0,798.0,True,,7
stage2,5484,9,3293,6.586,3093.5,3486.0,798.0,772.0,True,,8
stage2,5484,10,3679,7.358,3486.0,3863.5,772.0,738.0,True,,9
stage2,5484,11,4048,8.096,3863.5,4229.0,738.0,724.0,True,,10
stage2,5484,12,4410,8.82,4229.0,4591.0,724.0,724.0,True,,11
stage2,5484,13,4772,9.544,4591.0,,724.0,,False,edge_no_two_neighbors,-1
stage2,5534,0,306,0.612,,596.5,,1162.0,False,edge_no_two_neighbors,-1
stage2,5534,1,887,1.774,596.5,1179.5,1162.0,1170.0,True,,0
stage2,5534,2,1472,2.944,1179.5,1767.0,1170.0,1180.0,True,,1
stage2,5534,3,2062,4.124,1767.0,2375.5,1180.0,1254.0,True,,2
stage2,5534,4,2689,5.378,2375.5,2983.5,1254.0,1178.0,True,,3
stage2,5534,5,3278,6.556,2983.5,3578.5,1178.0,1202.0,True,,4
stage2,5534,6,3879,7.758,3578.5,4184.5,1202.0,1222.0,True,,5
stage2,5534,7,4490,8.98,4184.5,,1222.0,,False,edge_no_two_neighbors,-1
stage2,5550,0,316,0.632,,565.0,,996.0,False,edge_no_two_neighbors,-1
stage2,5550,1,814,1.628,565.0,1067.5,996.0,1014.0,True,,0
stage2,5550,2,1321,2.642,1067.5,1556.0,1014.0,940.0,True,,1
stage2,5550,3,1791,3.582,1556.0,2028.5,940.0,950.0,True,,2
stage2,5550,4,2266,4.532,2028.5,2511.5,950.0,982.0,True,,3
stage2,5550,5,2757,5.514,2511.5,3000.5,982.0,974.0,True,,4
stage2,5550,6,3244,6.488,3000.5,3505.5,974.0,1046.0,True,,5
stage2,5550,7,3767,7.534,3505.5,4032.5,1046.0,1062.0,True,,6
stage2,5550,8,4298,8.596,4032.5,4540.0,1062.0,968.0,True,,7
stage2,5550,9,4782,9.564,4540.0,,968.0,,False,edge_no_two_neighbors,-1
stage2,5657,0,16,0.032,,211.5,,782.0,False,edge_no_two_neighbors,-1
stage2,5657,1,407,0.814,211.5,613.5,782.0,826.0,True,,0
stage2,5657,2,820,1.64,613.5,1021.0,826.0,804.0,True,,1
stage2,5657,3,1222,2.444,1021.0,1423.5,804.0,806.0,True,,2
stage2,5657,4,1625,3.25,1423.5,1831.5,806.0,826.0,True,,3
stage2,5657,5,2038,4.076,1831.5,2238.5,826.0,802.0,True,,4
stage2,5657,6,2439,4.878,2238.5,2643.0,802.0,816.0,True,,5
stage2,5657,7,2847,5.694,2643.0,3055.5,816.0,834.0,True,,6
stage2,5657,8,3264,6.528,3055.5,3477.5,834.0,854.0,True,,7
stage2,5657,9,3691,7.382,3477.5,3900.5,854.0,838.0,True,,8
stage2,5657,10,4110,8.22,3900.5,4327.5,838.0,870.0,True,,9
stage2,5657,11,4545,9.09,4327.5,,870.0,,False,edge_no_two_neighbors,-1
stage2,5705,0,285,0.57,,488.0,,812.0,False,edge_no_two_neighbors,-1
stage2,5705,1,691,1.382,488.0,898.0,812.0,828.0,True,,0
stage2,5705,2,1105,2.21,898.0,1325.0,828.0,880.0,True,,1
stage2,5705,3,1545,3.09,1325.0,1753.5,880.0,834.0,True,,2
stage2,5705,4,1962,3.924,1753.5,2164.0,834.0,808.0,True,,3
stage2,5705,5,2366,4.732,2164.0,2567.5,808.0,806.0,True,,4
stage2,5705,6,2769,5.538,2567.5,2977.5,806.0,834.0,True,,5
stage2,5705,7,3186,6.372,2977.5,3392.0,834.0,824.0,True,,6
stage2,5705,8,3598,7.196,3392.0,3805.0,824.0,828.0,True,,7
stage2,5705,9,4012,8.024,3805.0,4215.0,828.0,812.0,True,,8
stage2,5705,10,4418,8.836,4215.0,4622.5,812.0,818.0,True,,9
stage2,5705,11,4827,9.654,4622.5,,818.0,,False,edge_no_two_neighbors,-1
stage2,5783,0,230,0.46,,508.5,,1114.0,False,edge_no_two_neighbors,-1
stage2,5783,1,787,1.574,508.5,1068.0,1114.0,1124.0,True,,0
stage2,5783,2,1349,2.698,1068.0,1650.0,1124.0,1204.0,True,,1
stage2,5783,3,1951,3.902,1650.0,2217.0,1204.0,1064.0,True,,2
stage2,5783,4,2483,4.966,2217.0,2792.0,1064.0,1236.0,True,,3
stage2,5783,5,3101,6.202,2792.0,3398.5,1236.0,1190.0,True,,4
stage2,5783,6,3696,7.392,3398.5,3968.5,1190.0,1090.0,True,,5
stage2,5783,7,4241,8.482,3968.5,4529.5,1090.0,1154.0,True,,6
stage2,5783,8,4818,9.636,4529.5,,1154.0,,False,edge_no_two_neighbors,-1
stage2,5823,0,332,0.664,,508.5,,706.0,False,edge_no_two_neighbors,-1
stage2,5823,1,685,1.37,508.5,860.5,706.0,702.0,True,,0
stage2,5823,2,1036,2.072,860.5,1208.5,702.0,690.0,True,,1
stage2,5823,3,1381,2.762,1208.5,1559.0,690.0,712.0,True,,2
stage2,5823,4,1737,3.474,1559.0,1911.5,712.0,698.0,True,,3
stage2,5823,5,2086,4.172,1911.5,2261.0,698.0,700.0,True,,4
stage2,5823,6,2436,4.872,2261.0,2608.5,700.0,690.0,True,,5
stage2,5823,7,2781,5.562,2608.5,2955.5,690.0,698.0,True,,6
stage2,5823,8,3130,6.26,2955.5,3306.5,698.0,706.0,True,,7
stage2,5823,9,3483,6.966,3306.5,3659.5,706.0,706.0,True,,8
stage2,5823,10,3836,7.672,3659.5,4011.0,706.0,700.0,True,,9
stage2,5823,11,4186,8.372,4011.0,4361.0,700.0,700.0,True,,10
stage2,5823,12,4536,9.072,4361.0,4712.5,700.0,706.0,True,,11
stage2,5823,13,4889,9.778,4712.5,,706.0,,False,edge_no_two_neighbors,-1
stage2,5843,0,428,0.856,,669.0,,964.0,False,edge_no_two_neighbors,-1
stage2,5843,1,910,1.82,669.0,1144.0,964.0,936.0,True,,0
stage2,5843,2,1378,2.756,1144.0,1610.5,936.0,930.0,True,,1
stage2,5843,3,1843,3.686,1610.5,2079.5,930.0,946.0,True,,2
stage2,5843,4,2316,4.632,2079.5,2538.5,946.0,890.0,True,,3
stage2,5843,5,2761,5.522,2538.5,2992.5,890.0,926.0,True,,4
stage2,5843,6,3224,6.448,2992.5,3461.0,926.0,948.0,True,,5
stage2,5843,7,3698,7.396,3461.0,3930.0,948.0,928.0,True,,6
stage2,5843,8,4162,8.324,3930.0,4401.0,928.0,956.0,True,,7
stage2,5843,9,4640,9.28,4401.0,,956.0,,False,edge_no_two_neighbors,-1
stage2,5887,0,54,0.108,,351.5,,1190.0,False,edge_no_two_neighbors,-1
stage2,5887,1,649,1.298,351.5,941.5,1190.0,1170.0,True,,0
stage2,5887,2,1234,2.468,941.5,1524.5,1170.0,1162.0,True,,1
stage2,5887,3,1815,3.63,1524.5,2107.0,1162.0,1168.0,True,,2
stage2,5887,4,2399,4.798,2107.0,2704.0,1168.0,1220.0,True,,3
stage2,5887,5,3009,6.018,2704.0,3317.0,1220.0,1232.0,True,,4
stage2,5887,6,3625,7.25,3317.0,3927.5,1232.0,1210.0,True,,5
stage2,5887,7,4230,8.46,3927.5,4527.5,1210.0,1190.0,True,,6
stage2,5887,8,4825,9.65,4527.5,,1190.0,,False,edge_no_two_neighbors,-1
stage2,5962,0,57,0.114,,245.5,,754.0,False,edge_no_two_neighbors,-1
stage2,5962,1,434,0.868,245.5,691.0,754.0,1028.0,True,,0
stage2,5962,2,948,1.896,691.0,1223.0,1028.0,1100.0,True,,1
stage2,5962,3,1498,2.996,1223.0,1769.0,1100.0,1084.0,True,,2
stage2,5962,4,2040,4.08,1769.0,2289.5,1084.0,998.0,True,,3
stage2,5962,5,2539,5.078,2289.5,2785.5,998.0,986.0,True,,4
stage2,5962,6,3032,6.064,2785.5,3282.5,986.0,1002.0,True,,5
stage2,5962,7,3533,7.066,3282.5,3787.5,1002.0,1018.0,True,,6
stage2,5962,8,4042,8.084,3787.5,4302.5,1018.0,1042.0,True,,7
stage2,5962,9,4563,9.126,4302.5,,1042.0,,False,edge_no_two_neighbors,-1
stage2,5984,0,41,0.082,,309.5,,1074.0,False,edge_no_two_neighbors,-1
stage2,5984,1,578,1.156,309.5,851.0,1074.0,1092.0,True,,0
stage2,5984,2,1124,2.248,851.0,1396.5,1092.0,1090.0,True,,1
stage2,5984,3,1669,3.338,1396.5,1938.5,1090.0,1078.0,True,,2
stage2,5984,4,2208,4.416,1938.5,2479.5,1078.0,1086.0,True,,3
stage2,5984,5,2751,5.502,2479.5,3019.5,1086.0,1074.0,True,,4
stage2,5984,6,3288,6.576,3019.5,3551.5,1074.0,1054.0,True,,5
stage2,5984,7,3815,7.63,3551.5,4081.0,1054.0,1064.0,True,,6
stage2,5984,8,4347,8.694,4081.0,4610.0,1064.0,1052.0,True,,7
stage2,5984,9,4873,9.746,4610.0,,1052.0,,False,edge_no_two_neighbors,-1
stage2,6051,0,303,0.606,,529.0,,904.0,False,edge_no_two_neighbors,-1
stage2,6051,1,755,1.51,529.0,984.5,904.0,918.0,True,,0
stage2,6051,2,1214,2.428,984.5,1447.5,918.0,934.0,True,,1
stage2,6051,3,1681,3.362,1447.5,1907.0,934.0,904.0,True,,2
stage2,6051,4,2133,4.266,1907.0,2347.5,904.0,858.0,True,,3
stage2,6051,5,2562,5.124,2347.5,2786.0,858.0,896.0,True,,4
stage2,6051,6,3010,6.02,2786.0,3243.0,896.0,932.0,True,,5
stage2,6051,7,3476,6.952,3243.0,3699.5,932.0,894.0,True,,6
stage2,6051,8,3923,7.846,3699.5,4136.5,894.0,854.0,True,,7
stage2,6051,9,4350,8.7,4136.5,4575.5,854.0,902.0,True,,8
stage2,6051,10,4801,9.602,4575.5,,902.0,,False,edge_no_two_neighbors,-1
stage2,6102,0,104,0.208,,315.5,,846.0,False,edge_no_two_neighbors,-1
stage2,6102,1,527,1.054,315.5,739.0,846.0,848.0,True,,0
stage2,6102,2,951,1.902,739.0,1164.0,848.0,852.0,True,,1
stage2,6102,3,1377,2.754,1164.0,1591.5,852.0,858.0,True,,2
stage2,6102,4,1806,3.612,1591.5,2023.5,858.0,870.0,True,,3
stage2,6102,5,2241,4.482,2023.5,2458.5,870.0,870.0,True,,4
stage2,6102,6,2676,5.352,2458.5,2892.5,870.0,866.0,True,,5
stage2,6102,7,3109,6.218,2892.5,3324.0,866.0,860.0,True,,6
stage2,6102,8,3539,7.078,3324.0,3753.0,860.0,856.0,True,,7
stage2,6102,9,3967,7.934,3753.0,4183.5,856.0,866.0,True,,8
stage2,6102,10,4400,8.8,4183.5,4619.0,866.0,876.0,True,,9
stage2,6102,11,4838,9.676,4619.0,,876.0,,False,edge_no_two_neighbors,-1
stage2,6146,0,92,0.184,,227.5,,542.0,False,edge_no_two_neighbors,-1
stage2,6146,1,363,0.726,227.5,606.0,542.0,972.0,True,,0
stage2,6146,2,849,1.698,606.0,1103.0,972.0,1016.0,True,,1
stage2,6146,3,1357,2.714,1103.0,1599.5,1016.0,970.0,True,,2
stage2,6146,4,1842,3.684,1599.5,2095.5,970.0,1014.0,True,,3
stage2,6146,5,2349,4.698,2095.5,2605.5,1014.0,1026.0,True,,4
stage2,6146,6,2862,5.724,2605.5,3103.5,1026.0,966.0,True,,5
stage2,6146,7,3345,6.69,3103.5,3600.0,966.0,1020.0,True,,6
stage2,6146,8,3855,7.71,3600.0,4107.5,1020.0,1010.0,True,,7
stage2,6146,9,4360,8.72,4107.5,4599.5,1010.0,958.0,True,,8
stage2,6146,10,4839,9.678,4599.5,,958.0,,False,edge_no_two_neighbors,-1
stage2,6250,0,20,0.04,,285.0,,1060.0,False,edge_no_two_neighbors,-1
stage2,6250,1,550,1.1,285.0,810.0,1060.0,1040.0,True,,0
stage2,6250,2,1070,2.14,810.0,1332.0,1040.0,1048.0,True,,1
stage2,6250,3,1594,3.188,1332.0,1860.0,1048.0,1064.0,True,,2
stage2,6250,4,2126,4.252,1860.0,2383.5,1064.0,1030.0,True,,3
stage2,6250,5,2641,5.282,2383.5,2903.5,1030.0,1050.0,True,,4
stage2,6250,6,3166,6.332,2903.5,3439.5,1050.0,1094.0,True,,5
stage2,6250,7,3713,7.426,3439.5,3976.0,1094.0,1052.0,True,,6
stage2,6250,8,4239,8.478,3976.0,4504.5,1052.0,1062.0,True,,7
stage2,6250,9,4770,9.54,4504.5,,1062.0,,False,edge_no_two_neighbors,-1
stage2,6278,0,122,0.244,,275.0,,612.0,False,edge_no_two_neighbors,-1
stage2,6278,1,428,0.856,275.0,582.0,612.0,616.0,True,,0
stage2,6278,2,736,1.472,582.0,891.0,616.0,620.0,True,,1
stage2,6278,3,1046,2.092,891.0,1200.5,620.0,618.0,True,,2
stage2,6278,4,1355,2.71,1200.5,1509.0,618.0,616.0,True,,3
stage2,6278,5,1663,3.326,1509.0,1817.0,616.0,616.0,True,,4
stage2,6278,6,1971,3.942,1817.0,2124.5,616.0,614.0,True,,5
stage2,6278,7,2278,4.556,2124.5,2431.5,614.0,614.0,True,,6
stage2,6278,8,2585,5.17,2431.5,2739.0,614.0,616.0,True,,7
stage2,6278,9,2893,5.786,2739.0,3048.0,616.0,620.0,True,,8
stage2,6278,10,3203,6.406,3048.0,3357.0,620.0,616.0,True,,9
stage2,6278,11,3511,7.022,3357.0,3664.0,616.0,612.0,True,,10
stage2,6278,12,3817,7.634,3664.0,3970.0,612.0,612.0,True,,11
stage2,6278,13,4123,8.246,3970.0,4276.0,612.0,612.0,True,,12
stage2,6278,14,4429,8.858,4276.0,4582.5,612.0,614.0,True,,13
stage2,6278,15,4736,9.472,4582.5,,614.0,,False,edge_no_two_neighbors,-1
stage2,6347,0,437,0.874,,706.0,,1076.0,False,edge_no_two_neighbors,-1
stage2,6347,1,975,1.95,706.0,1238.0,1076.0,1052.0,True,,0
stage2,6347,2,1501,3.002,1238.0,1767.5,1052.0,1066.0,True,,1
